Zeit;Kanal A
(ms);(mV)

-25,00849905;2,41941400
-25,00349905;2,04724400
-24,99849905;3,72293300
-24,99349905;2,97797700
-24,98849905;2,79220000
-24,98349905;1,11651100
-24,97849905;1,67507400
-24,97349905;0,93073320
-24,96849905;2,23363700
-24,96349905;2,79220000
-24,95849905;2,04724400
-24,95349905;1,48868100
-24,94849905;2,23363700
-24,94349905;0,93073320
-24,93849905;2,04724400
-24,93349905;1,67507400
-24,92849905;0,37217020
-24,92349905;2,04724400
-24,91849905;0,55794780
-24,91349905;0,74434050
-24,90849905;1,11651100
-24,90349905;0,18577760
-24,89849905;0,93073320
-24,89349905;1,48868100
-24,88849905;1,48868100
-24,88349905;0,00000000
-24,87849905;0,74434050
-24,87349906;0,74434050
-24,86849906;2,04724400
-24,86349906;1,11651100
-24,85849906;1,11651100
-24,85349906;0,93073320
-24,84849906;1,48868100
-24,84349906;0,93073320
-24,83849906;1,11651100
-24,83349906;0,55794780
-24,82849906;1,30290300
-24,82349906;1,86146600
-24,81849906;1,30290300
-24,81349906;0,00000000
-24,80849906;0,93073320
-24,80349906;0,55794780
-24,79849906;0,93073320
-24,79349906;0,37217020
-24,78849906;1,11651100
-24,78349906;0,55794780
-24,77849906;0,37217020
-24,77349906;0,18577760
-24,76849906;0,37217020
-24,76349906;0,00000000
-24,75849906;-0,37217020
-24,75349906;0,18577760
-24,74849906;0,93073320
-24,74349906;0,00000000
-24,73849906;-0,55794780
-24,73349906;-0,37217020
-24,72849906;0,93073320
-24,72349906;0,00000000
-24,71849906;0,37217020
-24,71349906;0,18577760
-24,70849906;0,00000000
-24,70349906;0,00000000
-24,69849906;1,86146600
-24,69349906;0,93073320
-24,68849906;-0,74434050
-24,68349906;-0,93073320
-24,67849906;0,00000000
-24,67349906;0,18577760
-24,66849906;0,00000000
-24,66349906;-0,37217020
-24,65849906;-0,18577760
-24,65349906;0,00000000
-24,64849906;-0,18577760
-24,64349906;-0,74434050
-24,63849906;-1,48868100
-24,63349906;-0,74434050
-24,62849906;-0,55794780
